code	urn	db_name	phase_name	lat	lon	status	note
3858	123227	St Mary's Church of England (Aided) Primary School, Chipping Norton	Primary	51.93717399986645	-1.5456887672365338	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3859	150190	All Saints Church of England Primary School	Primary	51.60990078255631	-1.2304626027078007	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
3861	135265	Dunmore Primary School	Primary	51.68137548290311	-1.2804253202879976	done	done 2026-08-10 (later session): the previously-found-but-not-geocoded Wildmoor-area roundabout (B4017, Overpass, averaged across 4 roundabout-way nodes) paired with Tilsley Park's athletics-track building footprint (Overpass, averaged across 6 track-feature ways - the same landmark used for the neighbouring Long Furlong Primary catchment, though that map's own A415/Dunmore Road roundabout wasn't visible on THIS file's extent so a fresh pairing was needed), 1013px/853m baseline (borderline on the >1000px baseline guideline but the only viable pair on this file's extent), rotation -2.04deg. Cross-checked against the school's own black-star marker (found via manual colour-mask, not blue) and real DB coordinate: 3.61deg bearing residual, 0.878 distance ratio. DB coordinate falls inside the polygon. Area 1.72km2.
3912	139770	Willowcroft Community School	Primary	51.60237500968076	-1.2415344053098516	done	Landed 2026-08-09 (second landmark-pair session): anchored on own marker + Manor Primary School's real DB coordinate (907m baseline), cross-checked against a real OSM roundabout on Broadway/B4016 (832m baseline) - 3.41deg residual, 1.017 dist ratio. (A short 105m-baseline attempt anchoring on St Birinus School first gave an inconsistent triangle - discarded, matches this project's existing short-baseline lesson)
4000	138499	Wykham Park	Secondary	52.04957309594931	-1.3443781187926551	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4004	140653	Aureus School	Secondary	51.60537863337159	-1.2714324275951563	done	done 2026-08-10 (later session): the standard council PDF search still finds nothing for this academy, but the {code}_all.pdf URL pattern (code 2011, oddly the PRIMARY school's own council code slot) actually resolves to a real GLF Trust-branded shared catchment map covering both Aureus School and Aureus Primary School - see code 2011's note above for the full digitisation method (landmark-pair via A4130/B4493 roundabout + own DB coordinate/icon, cross-checked against the sibling school's icon, both contained). Same polygon used for both URNs since the source map draws one shared boundary for both phases.
4006	140886	Futures Institute Banbury	Secondary	52.05026248886381	-1.343857639735885	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4008	141111	UTC Oxfordshire	Secondary	51.60389760615334	-1.2718459832450213	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4014	146800	Greyfriars Catholic School	Secondary	51.73760882920199	-1.226876740628114	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4016	147203	The Swan School	Secondary	51.771548765878535	-1.2403551221672815	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4017	147872	Whitelands Academy	Secondary	51.88917397646291	-1.16768301592924	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4041	123236	Carterton Community College	Secondary	51.76520479304217	-1.6005961845871362	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4060	138897	Gosford Hill School	Secondary	51.81623635033488	-1.2791504041703972	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4126	140580	John Mason School	Secondary	51.67667632695437	-1.2883528542606966	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4127	146392	Fitzharrys School	Secondary	51.681703331367615	-1.2840505901354935	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
4600	141146	Blessed George Napier Catholic School and Sixth Form	Secondary	52.04839378825323	-1.3408810945474674	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
6905	135365	North Oxfordshire Academy	Secondary	52.07204315545167	-1.3678304750893495	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
